prompt_id	prompt_text	ref_id	reference_name	reference_text	model_id	model_name	candidate_text	win_ratio	counts
4001	"A It's been very sunny lately, hasn't it?
B  Yes, it has. Some rain would be very nice.
A  I don't think it will rain for quite some time."	112	ESL 3 Human Baseline	Maybe we can do a rain dance and summon rain.	5	CakeChat	no you ' ll not !	0.1111111111111111	18
4002	"A What are you going to do about your death?
B  Well, mostly I'll try to avoid it.
A  I mean, are you going to get buried or cremated?"	112	ESL 3 Human Baseline	My wife and I will be cremated.	5	CakeChat	i ' m not sure . . . still haven ' t got mine . . .	0.05555555555555555	18
4003	"A My grandma bought me some chocolates yesterday.
B  That is an impressive-looking box.
A  She said they were imported chocolates."	112	ESL 3 Human Baseline	What does that mean?	5	CakeChat	i ' m not sure if it ' s a compliment or a friend but now that you mention it , my heart is beating up	0.2222222222222222	18
4004	"A Can you help me find an apartment?
B  Sure, I would be happy to help.
A  I'm having trouble starting my search."	112	ESL 3 Human Baseline	I would try driving around the neighborhood, and looking for any signs that say RENT.	5	CakeChat	i ' m not sure my mom would buy me a card	0.2222222222222222	18
4005	"A This is Joseph Walters, the inspector.
B  Hello, Joseph. I'm the buyer, Mrs. Smith
A  Hello, Mrs. Smith. I've done a preliminary check of the property."	112	ESL 3 Human Baseline	That's great! What did you find?	5	CakeChat	i was just thinking about that . . .	0.4444444444444444	18
4006	"A Doesn't that new Godzilla movie look good?
B  The effects are much better than in the old movies.
A  The storyline sounds interesting, too."	112	ESL 3 Human Baseline	Do you want to go watch it now?	5	CakeChat	i ' m hoping for more than one episode .	0.5	18
4007	"A What's this stain?
B  I don't know.
A  It looks like blood."	112	ESL 3 Human Baseline	I think my nose was bleeding.	5	CakeChat	it ' s a shame	0.4444444444444444	18
4008	"A Where are you going?
B  I have to walk the dog.
A  What kind of dog do you have?"	112	ESL 3 Human Baseline	I have a little poodle.	5	CakeChat	i don ' t have a dog . . .	0.16666666666666666	18
4009	"A They should increase the voting age to 21.
B  Why do you think they should do that?
A  Well, people can't drink until they're 21."	112	ESL 3 Human Baseline	That's so they'll have time to make the right decision.	5	CakeChat	you ' re a little late but i ' m the best ever	0.2777777777777778	18
4010	"A You look troubled.
B  I feel terrible.
A  What's the problem?"	112	ESL 3 Human Baseline	I went hiking in the mountains last week.	5	CakeChat	what do you mean ?	0.2777777777777778	18
4011	"A Let's play cards.
B  I don't know any card games.
A  I'll teach you one."	112	ESL 3 Human Baseline	Okay. What will you teach me?	5	CakeChat	i ' ve never seen a one on the other side of the world . . .	0.2222222222222222	18
4012	"A Something's wrong with my computer.
B  Exactly what?
A  All I get is a black screen."	112	ESL 3 Human Baseline	What's the matter?	5	CakeChat	i ' m not sure what you ' re talking about but the new ones are more expensive than regular , they ' re all in the same boat	0.2222222222222222	18
4013	"A You look lost. Are you in need of any directions?
B  I was just about to ask someone for directions. Thank you for noticing.
A  Where are you from?"	112	ESL 3 Human Baseline	I'm from the inner city.	5	CakeChat	i ' m from america	0.1111111111111111	18
4014	"A You're yawning.
B  I sure am.
A  You should go to bed."	112	ESL 3 Human Baseline	I will as soon as I finish this article.	5	CakeChat	i ' m not home now . . .	0.3333333333333333	18
4015	"A What's wrong? You look sad.
B  I was rejected from my dream school.
A  I'm sorry to hear that."	112	ESL 3 Human Baseline	I feel so stupid. What's wrong with me?	5	CakeChat	it ' s ok i ' ll just do my job	0.6111111111111112	18
4016	"A I was hoping you could help me.
B  I'll try. What help do you need?
A  I'm having an interview tomorrow morning. I'm very nervous."	112	ESL 3 Human Baseline	That's great! Why are you nervous though?	5	CakeChat	what ' s your schedule for tomorrow ?	0.5	18
4017	"A I'm starving!
B  Me too. Let's get something to eat.
A  What would you like?"	112	ESL 3 Human Baseline	I know! Let's go down to the Farmer's Market.	5	CakeChat	you could just take a picture of me and him	0.1111111111111111	18
4018	"A That is such a cute dress!
B  Thanks! I bought it yesterday.
A  Have you worn it yet?"	112	ESL 3 Human Baseline	No, I have to accessorize it first!	5	CakeChat	no i don ' t , i ' m not going to get my hair cut .	0.2222222222222222	18
